entry_num,gloss,otomian,trique,proto_mixtec,Unnamed: 5,zapotec_isthmus,Unnamed: 7,mazahua,totonac,popoluca,huave,chontal
107.0,to sleep,ähä,otoj,,kusun,"rasi, rusisiaasi'",wetas,,asltatá,,-me,dixmayhma
108.0,to live,bui,"ne, yáán",,"koo, chakoo",ri1be1za2,,,,tsïnap,,dibajmhma
109.0,to die,tu,avi',,kuvi,rati,"wate, chat",,ní,,-ndyu,dimahna
110.0,to kill,ho,ticavi',,ka'ni,ruu1ti2,"wet, chhot",,magní,,-mbi,dimáhahma
111.0,to fight,"ntuhni, ntsa̲","anó tuvi', unu'",,"kanaa, kinyɨɨ",ri1din1de2,,,taratlawá,,,
112.0,"to hunt
(transitive)","pe̲, k'ahni",noco',,k'ani,rie guuze',xhejsa (noun),,talatnán,tínquep,,dihnołhma
113.0,to hit,"fant’i, umbi",,,chi'i,"ri1ga1pa2, ri1gui1ñe2",we',,,,,dibahma
114.0,to cut,he̲ki,a'ne',,"ka'ncha, kaxa","ruchuugu', rugá",,,,tïnpuxtucp,"ndojky-; 
ajch (chop)",dihwitsoda
115.0,to split,he̲ni,,,t'avi,"richeza, ri1gui1che2",,,,,mbajk-; chiot (break),debíhihma
116.0,"to stab
(or stick)",sut'i,,,kani,,,,,tïnmï’cxp,-tsoly,denahma
117.0,"to scratch
(an itch)","xe̲t'i, xaki",utuù,,koyo,"ri1guu1ñe2, 
ruuza1 xhuga2",,,taxtí,,koch,"debułhma, degofijmhma"
118.0,to dig,he̲t'i,váán,,kata,,,,,,-ojty,dibuhma
119.0,to swim,ña̲the,o' ... xtáj,,sucha,rixuuba',,,ixkiwatnán,tïyump,,digafgayhma
120.0,to fly,nsa̲ni,,,ndachi,,wezo,zinzapjú,,tïquecp,-laly,diyuhma
121.0,to walk,yowa,chéé,,kaka,rizá,,nzhodú,,tïyo’yp,-jay,dihuahma
122.0,to come,ehe,na',,kixi,ree1da2,chhida,,min,tïmimp,"-pe, -liok",digwaynawo
123.0,"to lie
(as on one's side)",be̲ni,,,nukava,"ra'ta', rixá",,,tamá,tïncumdacp,piaj,dunawayhma
124.0,to sit,hudi,,,nukoo,ribí,,,tawilá,tïntsïndacp,tsot-,digutswayhma
125.0,to stand,ba̲i,,,kandichi,riasa,,nanga,takí,,lomb-,
126.0,"to turn
(change direction)",ba̲t'i,,,,ri1bi1gue1ta’3,,,,,-ndil,dugwif'hma
