entry_num,gloss,otomian,trique,proto_mixtec,Unnamed: 5,zapotec_isthmus,Unnamed: 7,mazahua,totonac,popoluca,huave,chontal
180.0,"warm
(as in weather)",mpani,,*iʔniʔ,i'ni,nan1dá’3 (hot),da'la,paa,chíchi,pówic (noun),,ajoygah; inúh (hot)
181.0,"cold
(as in weather)",ntse̲,coj,,vɨxin,nananda,zaga,jotú,"lognún, kawitutá",,kiñ,axida
182.0,full,ñuts'i,"nichràa, nù'",,sikuku (verb),"na1ze2, dxa’2","nza', yoz",nizhi,tatsamá,,,"imanna, ixuayda"
183.0,new,ra'yo,nacà,,xaa,na1cu2bi1,"rhita, cobe",,sasti,námay,,ats'é
184.0,old,"xita, txu","ngà, re'èè",,"chee, yata",na1hue2la1,golha,,makám,ámpay,"nataxuy, ngarrats",aguweh
185.0,good,"za, hogi","nò, sà'",*waʔa,va'a,"na1cha’3hui’1, yo2",,joo,tlan,oy,ñe,ac'a
186.0,bad,nts'o,chi'ìì,,kue'e,na1dxa1ba’3,xhi'a,,nitlán,malo’c (Spanish),,ahij mejor
187.0,"rotten
(as, a log)",ya,richruù (of wood),*teʔyu,kue'e,nayuudxu',gozo',,masnít,,"tyux, -pandy (verb)",iweł'gui
188.0,dirty,nts'o,"caniquè', rìn'",,ña'an,"nabiidi', nachipa","ne’e, bziwe’, besjo",,tsintsíli,,-nay,axujc'a
189.0,straight,njwäntho,,,ndoo,,,,"sluloko, tanes",,-lyeng,
190.0,round,tsant’i,"cachrìin, xòò",*kute,tɨloo,bi1tu1 xi3ga1 (noun),blol,,stilili,,,axpeyyugui
191.0,"sharp
(as a knife)","hye̲nte, hño",naca (verb),,xaan,na1du1xhu’3,,,,,,
192.0,"dull
(as a knife)",doñä,,,,natuumbu',,,,,,
193.0,smooth,nts'u̲k,nu'vè,*lɨʔwɨʔ,"kama, lɨɨ",nadxiibi',,,,,,"łuc', abijga"
194.0,wet,"nk'a, mobo",yòò,,vixa,nadxé',,,chítwa,xó’guic,-kats,ijagui
195.0,"dry
(adjective)","yot'i, 'ñoni",nacòò,,ichɨ,nabidxi,,,skakni,,-wajk,ijuł
196.0,"right
(correct)",hogi,,,ndaa,jneza,ojo'o,,,iyacxtá’cway,,"ałingca, ma dałmay"
197.0,near,getu̲'bu̲,nichrùn',*yetì,yati,gaxha,gawte,,,tom,,"da, awejngga"
198.0,far,ya'bu̲,gàn',,"xika, kani",zitu,jëë,,mákat,,,aguli(h) lane
199.0,"right
(side)",ñe̲i,nuvà',,kua'a,,licha,,pagkanat,óyim,,alc'a
